selection_rank,extraction_case_id,document_identity_id,text_table_detection_id,pdf_readiness_id,source_review_id,candidate_queue_row_id,triage_id,verification_id,state,municipality,government_name,unit_type,candidate_source_type,contract_period_start,contract_period_end,content_artifact_path,content_hash,pdf_page_count,text_layer_status,wage_table_signal,extraction_pilot_priority,candidate_wage_pages,selection_score,selection_reason_codes,matched_group_id,matched_non_safety_selected,matched_non_safety_case_id,planned_lane,gate3_category,gate3_confidence,existing_rendered_page_count,selection_status
404,cex_c2f5945eea8465641dac8b60,doc_0ebd2035feb329160a96672e,ttd_90046566ada7c1ee83bf0d9a,pr_3edb752b6435082d8f5c9e0d,sr_3d4eaf66c665c63d48d0e625,NSCQ-OR-20260720-0034,TRI-eecdad2b1f75f6a787bb,VER-93f68d2046c926b19545,OR,Lake Oswego,CITY OF LAKE OSWEGO,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0043_sr_3d4eaf66c665c63d48d0e625.pdf,e8268057f277c3ef04ea80d9e2a90515264fc514a295ad2f4e6ac78a97ad4e14,43,present,likely,p1,"2,6,10,20,24,42",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_fbd6c45226d0c1f873bad73d,yes,cex_5375a006bf6bce9ccb03f33f,mixed,,,0,frozen
405,cex_5375a006bf6bce9ccb03f33f,doc_3d8d7d23ccfedea575654937,ttd_40e203b38a5b29ea2a353d70,pr_7aeaf588a2ee371f3d1fcf4d,sr_c1dde330194f919bf89fef96,NSCQ-OR-20260720-0036,TRI-4665096a77998e9eb14e,VER-4785689ed72fdab310b6,OR,Lake Oswego,CITY OF LAKE OSWEGO,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0498_sr_c1dde330194f919bf89fef96.pdf,da42742da6a49cb67a1e691cfab594760b6474e59d66ed96768428b7351934fb,5,present,likely,p1,"1,2,3,4,5",42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|SOURCE_DIVERSITY,match_fbd6c45226d0c1f873bad73d,yes,cex_5375a006bf6bce9ccb03f33f,quantitative,,,0,frozen
406,cex_c4f99fb00dea730ecd78803b,doc_40df397713174c03674c78b1,ttd_7bad34d83cb6b401e0515e11,pr_7239f0e8394319f0a28eb136,sr_7a30cb8faba8b610ac10d5ae,NSCQ-OR-20260720-0033,TRI-cf46e0e4f57926526d25,VER-a61fc595127bb0b51a23,OR,Lake Oswego,CITY OF LAKE OSWEGO,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0113_sr_7a30cb8faba8b610ac10d5ae.pdf,b008dea15bbff5c00a7a301cd657552d0953af16b1a0f5eea58a43cf051a4778,58,present,possible,p2,"2,7,20,26,30,33,58",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_fbd6c45226d0c1f873bad73d,yes,cex_5375a006bf6bce9ccb03f33f,mixed,,,0,frozen
407,cex_39c647f48c9ce29b5fba4239,doc_05846987cebc241be3b400d0,ttd_45873d3d17895009e207a8ef,pr_883c8086fb95319ec113d25f,sr_aee1d12b03cb5aa6880b6dba,NSCQ-OR-20260720-0111,TRI-647dcccb7fd08329c5e8,VER-3923d75258e530c88f99,OR,Ontario,CITY OF ONTARIO,non_safety,wage_schedule_or_compensation_plan,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0483_sr_aee1d12b03cb5aa6880b6dba.pdf,dd54d9c2072bca3dd6dbfc69f6fbbb02eb518d99d957d7db61e7a51e9289e569,1,present,likely,p1,1,42.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|SOURCE_DIVERSITY,match_cac637b3b6d4a30e6287586e,yes,cex_39c647f48c9ce29b5fba4239,quantitative,,,0,frozen
408,cex_3ecfd7b90b64dd24f259e7e4,doc_2cf8e6ecda821d0f872c832c,ttd_3b6af646c8c7373d71487abc,pr_7baea8c1036fd355509a0b4f,sr_d19d96bb44c9cfe754395f5b,NSCQ-OR-20260720-0109,TRI-e945759d3a8020e87c62,VER-10bb77c7fb3221f9c18b,OR,Ontario,CITY OF ONTARIO,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0051_sr_d19d96bb44c9cfe754395f5b.pdf,98fb8293516e11259f5e2dbb6aa5c4db046f388b48c309d89ee0f50feafcd954,65,present,likely,p1,"8,15,33",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_cac637b3b6d4a30e6287586e,yes,cex_39c647f48c9ce29b5fba4239,mixed,,,0,frozen
409,cex_43782acc3c84a0bd7c77b2ea,doc_78f672ad32f81d779df33c3b,ttd_cb6c8114b01d7b3f1affcce9,pr_5c5b16498f1e610bc88be9e6,sr_cce036c472225b516a902d46,NSCQ-OR-20260720-0086,TRI-14354db9b2239e93f192,VER-a567abc53d362a6890cb,OR,Pendleton,CITY OF PENDLETON,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0141_sr_cce036c472225b516a902d46.pdf,428ede486c756e01d42ce6be5ff0a3cc2d2a80074fcc43e8cfbfe044e456c39d,32,partial,likely,p1,"2,4,11,15,18",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_10b53d90b70cef2f038024a0,yes,cex_70dd78d6845ff0ce3a1f1dda,mixed,,,0,frozen
410,cex_70dd78d6845ff0ce3a1f1dda,doc_950232dab5d5cc13b5034292,ttd_28ee3ce1548c735bbc720eef,pr_0bdc2fefe719164801cb2474,sr_1321379ac6e2a9ff189ac57d,NSCQ-OR-20260720-0087,TRI-db9626791a049dd69c0b,VER-2306a494017f795f178c,OR,Pendleton,CITY OF PENDLETON,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0010_sr_1321379ac6e2a9ff189ac57d.pdf,82d3a1abe12510501d3285ffba4cc7a0cead591769d7d712819423eaa6a44ca8,33,present,likely,p1,"2,5,8,12,17,19",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_10b53d90b70cef2f038024a0,yes,cex_70dd78d6845ff0ce3a1f1dda,mixed,,,0,frozen
411,cex_c29556c2eb12aed0e8627556,doc_a2d5b7ac0f68c6b157cfeb97,ttd_dc8f8c50f107cb445f3ba045,pr_85f381b2fd8aeb90a05c94f2,sr_0c10143cd766bbc89fe2f001,NSCQ-OR-20260720-0085,TRI-8d5fbf3df3a914aad115,VER-0e6f1eed3c4c9406792a,OR,Pendleton,CITY OF PENDLETON,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0024_sr_0c10143cd766bbc89fe2f001.pdf,8ab2641a073e562716345528c05463abbbabeba7b557078562f8f5176f9d3af9,26,present,likely,p1,"2,7,9,12,14,15,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_10b53d90b70cef2f038024a0,yes,cex_70dd78d6845ff0ce3a1f1dda,mixed,,,0,frozen
412,cex_7446140946af23ecead13f5c,doc_5a28570c1835ef0805800194,ttd_51c664b48277987dde4497c4,pr_ef2e57389cecbb1432d916e7,sr_97609f35d61ada342a8e17c6,NSCQ-OR-20260720-0003,TRI-02e86db61fd9f742790a,VER-cd0a7c635f210f756568,OR,Portland,CITY OF PORTLAND,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0017_sr_97609f35d61ada342a8e17c6.pdf,62fcdb82721e883bd3f18e6dc45c27c0f6e4e156148b16334140a1368ad93edc,64,present,possible,p2,"15,33,36",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_7f03094b3072140cf7b3a9c8,yes,cex_2b8f6e75f95971d60c2db923,mixed,,,0,frozen
413,cex_2b8f6e75f95971d60c2db923,doc_b01247c5e23830881a92dc6b,ttd_ae81bf94f322855d8bedf508,pr_aac45952cb13277e811d660f,sr_833accf01a11223521163175,NSCQ-OR-20260720-0004,TRI-6c2c846edc4880ed0121,VER-4c1869427a463a8fcd3b,OR,Portland,CITY OF PORTLAND,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0069_sr_833accf01a11223521163175.pdf,5feff1211fc2c3349a09f0e44924154bfd052bfd3f4f3d25f045d43f22f2fe44,172,present,likely,p1,"20,39,58,77",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_7f03094b3072140cf7b3a9c8,yes,cex_2b8f6e75f95971d60c2db923,quantitative,,,0,frozen
414,cex_5775ee63d1bc414feb3b4a19,doc_3b6593b2353540941217909c,ttd_1bef0944073d979610665478,pr_1833e23ced5f3bacde35e45c,sr_48e7e10d6c99898c959d021c,NSCQ-OR-20260720-0001,TRI-5a094acc44a51ae85f2a,VER-4d908dbde4f8968e7070,OR,Portland,CITY OF PORTLAND,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0077_sr_48e7e10d6c99898c959d021c.pdf,74f865e2d5cc41c39ca3ea5c93f6a9c5de6a8ab5d7046b5168e3873c59bf230e,109,present,likely,p1,"13,25,49,55",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_7f03094b3072140cf7b3a9c8,yes,cex_2b8f6e75f95971d60c2db923,mixed,,,0,frozen
415,cex_ec452c444ac3cf85c50cdf84,doc_1c2dd7a104a6904ca00cb374,ttd_c8dfd76e43e93d6add1fc113,pr_25849239da2ef1ae61bd538b,sr_2613b16c8aa7b1fc23887352,NSCQ-OR-20260720-0069,TRI-5f380e14d37f3db78597,VER-5c7a546f3e68c4523227,OR,Roseburg,CITY OF ROSEBURG,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0156_sr_2613b16c8aa7b1fc23887352.pdf,2273bc6dc09ef0b1819eab04ff4c164ec7f39a9470ad2ad7f60ca09252e34572,32,present,likely,p1,"2,4,8,17,18,31,32",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_acedc1402187f0ec7d0549d2,yes,cex_ec452c444ac3cf85c50cdf84,mixed,,,0,frozen
416,cex_112d6094e8bec6dedcefc739,doc_952bf954b698378d95984e4a,ttd_31ac60a681c5540038c696d6,pr_87a5bf8e28d8ee529029963b,sr_a9b38dd8bc83d407854145fb,NSCQ-OR-20260720-0068,TRI-e7b24e87c481ffbff533,VER-42021c2a1e9eb683ec54,OR,Roseburg,CITY OF ROSEBURG,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0126_sr_a9b38dd8bc83d407854145fb.pdf,9cce52c6bc0c8e5330c079880e0ea99bad6d258444d1337331a4b0a39e18f025,35,present,likely,p1,"2,9,34,35",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_acedc1402187f0ec7d0549d2,yes,cex_ec452c444ac3cf85c50cdf84,mixed,,,0,frozen
417,cex_277ddc8bf2557924b08e7422,doc_0a0e4519bfa0f6b5779ba39d,ttd_ec8bf8bd1be3de7084b3ccfe,pr_9099819229b0bedcede707d2,sr_30d1ed603c3f307c84d9c81f,NSCQ-OR-20260720-0062,TRI-2ea1a431cf4b684b1bc8,VER-50070eeaa5b93060276a,OR,Woodburn,CITY OF WOODBURN,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0407_sr_30d1ed603c3f307c84d9c81f.pdf,f59b370422eed0bf53e4bd56dbc93eab7319c40846a30c18f2161a2a20cc7019,46,present,possible,p2,"1,11,16,21,24,26",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_8da6a706f19a60a089066614,yes,cex_277ddc8bf2557924b08e7422,mixed,,,0,frozen
418,cex_b329213533eeb6fbe39d8f8b,doc_a579ade5cd5f3434b5f220a6,ttd_42490ea0a95a9db182cbffeb,pr_0bad1fcdb0787ed0f683ff03,sr_03e57603d93167c6487183c9,NSCQ-OR-20260720-0061,TRI-907cbef15aa21dcf9764,VER-3f4ca8da026636465946,OR,Woodburn,CITY OF WOODBURN,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0061_sr_03e57603d93167c6487183c9.pdf,284d743f5a549af8da76d05ec792791b24e9e199c294ef21e96203a15cb10bbf,54,present,likely,p1,"7,25,28,30",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_8da6a706f19a60a089066614,yes,cex_277ddc8bf2557924b08e7422,mixed,,,0,frozen
419,cex_24387a8ada2c165f6a339db4,doc_31e20a8c59b37e470fb93084,ttd_10d6f88a29465dc79c281b8b,pr_11a3a06959cf2b1c7da6a326,sr_0cd6d9b0d7a10478ec7acdcd,NSCQ-PA-20260720-0098,TRI-db539a7bae9f56f22a2f,VER-76f65436a47c9cfb6e4b,PA,Columbia,BOROUGH OF COLUMBIA,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0085_sr_0cd6d9b0d7a10478ec7acdcd.pdf,3b78a5afda9402a741227ceb88a086fb53ebbce897980af13ed517b08ff04b01,102,present,possible,p2,"2,57",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_89dae4428243ab1441f8c18f,yes,cex_24387a8ada2c165f6a339db4,mixed,,,0,frozen
420,cex_a4466f013f8e3c71d9896bb3,doc_2d69c620de79c2b3e880af59,ttd_ffa71acb51d05f1392dbd02a,pr_48c6dc6ecf9ccc7ed688696f,sr_3a6777ef3d8490f6f49e7c5e,NSCQ-PA-20260720-0097,TRI-9ec26164b8c62cf93962,VER-c7988408cebb89a48ba6,PA,Columbia,BOROUGH OF COLUMBIA,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0058_sr_3a6777ef3d8490f6f49e7c5e.pdf,8e0bc7c878a00864d48696d98a56414117ee9c2e7355024ce477846be6bf7579,202,partial,possible,p2,46,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_89dae4428243ab1441f8c18f,yes,cex_24387a8ada2c165f6a339db4,mixed,,,0,frozen
421,cex_2944b3b033eb563d9d0e9a12,doc_84b92ce9a3e01285f64fe0a5,ttd_560ba6cd01b9b5f045e58218,pr_c136b3d9bfc53f6430cae8c2,sr_2ae5ff049436caf22fe8e1ef,NSCQ-PA-20260720-0058,TRI-3fbb9cfb9b485a83c50d,VER-92074502b6386ac8adf9,PA,Harrisburg,CITY OF HARRISBURG,fire,arbitration_award,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH3-3X500-2026-07-24/lane_3_live_attempt1/candidate_artifacts/content/0480_sr_2ae5ff049436caf22fe8e1ef.pdf,e57f26d65d5ed55fff23de160df91cd5d9af151305597c35fe27bd8320e9e844,113,present,likely,p1,"1,2,26,51,63",92.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY|GATE3_CALIBRATION_CASE|SOURCE_DIVERSITY,match_8fc3635c648bfad82ce341a7,yes,cex_d253fb67478332150a989f69,mixed,quant_table_ready,high,3,frozen
422,cex_d253fb67478332150a989f69,doc_7c128f74db5ed8fc9e22a9d4,ttd_63ac3b009ee004b1ff96aefd,pr_7fe88bfe0aac7543778ac129,sr_4f17b22a4300f94c82c769c8,NSCQ-PA-20260720-0060,TRI-1eacc939074f1bac49b1,VER-645e467ce7e87009fa81,PA,Harrisburg,CITY OF HARRISBURG,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0179_sr_4f17b22a4300f94c82c769c8.pdf,f01f3492f38ef96387ef4e61a7c2dba1feeb12d708eeba77b85b48b1efc781d9,15,present,likely,p1,"3,4,6",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_8fc3635c648bfad82ce341a7,yes,cex_d253fb67478332150a989f69,mixed,,,0,frozen
423,cex_96ad81b830d3ceb5d1071672,doc_238fa0b4f6dd7e3a5e7ab8cf,ttd_04d88d8c1b3a36076d324b47,pr_b3cd8c3e6783da60f0fdc6ee,sr_044123cacbff938890077498,NSCQ-PA-20260720-0079,TRI-562eb5724538cea55d2d,VER-d4a62e49569ddd52a611,PA,Monroeville,MUNICIPALITY OF MONROEVILLE,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_2_live_attempt2_httpx/candidate_artifacts/content/0021_sr_044123cacbff938890077498.pdf,482ca2e64c33e1b87f6678a441d67405cff781dbf792a300c29012e22a7f1321,21,present,likely,p1,"3,5,8,10,11,12,21",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_c5922ab98602aadbb79c6e0c,yes,cex_96ad81b830d3ceb5d1071672,mixed,,,0,frozen
424,cex_0084a492b27054a710fe8f94,doc_1f59f612b5f6a48a0d18d65f,ttd_4e9698b8d55dc27b2fdd153e,pr_2a01256b1bb8d2a7b19e969c,sr_398c76c9244a8903a411ee06,NSCQ-PA-20260720-0077,TRI-e85403ccec5ba587f6c4,VER-7ea42d3a419d50542436,PA,Monroeville,MUNICIPALITY OF MONROEVILLE,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-PILOT1-150-2026-07-24/lane_1_live_attempt2_httpx/candidate_artifacts/content/0015_sr_398c76c9244a8903a411ee06.pdf,5d2ef0f8db77fe281b54d82b7bee842ea4b94496537f655f5cba87804880866b,29,present,likely,p1,"1,2,4,7,10,13,28,29",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_c5922ab98602aadbb79c6e0c,yes,cex_96ad81b830d3ceb5d1071672,mixed,,,0,frozen
425,cex_1874230408340ead75f9d23f,doc_33fab547534c2316e1e89493,ttd_c872ca50bdeb63cbf481000c,pr_6702934069e7c53617287165,sr_ed0759eea4ff378c5e2f7fa4,NSCQ-PA-20260720-0017,TRI-675d27a8a42b51892ef2,VER-220a955b08dee9cdcb2f,PA,Reading,CITY OF READING,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0005_sr_ed0759eea4ff378c5e2f7fa4.pdf,5d931c2a1141a605b0b48ba421b99de31121dd638e26cc76582d76ddb5836c69,202,present,possible,p2,"46,90,113,201,202",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_8314fcdd248aac1c45cd4ef9,yes,cex_1874230408340ead75f9d23f,quantitative,,,0,frozen
426,cex_dc6e45820e7d993b31bbed3b,doc_82749f3b43ea2a66d1c5f047,ttd_38e91853d03e8bc40fb82fbf,pr_d7c855279aedb21af2e54dc2,sr_506783f83314e2ff6220c429,NSCQ-PA-20260720-0016,TRI-633f082ec844bc9c5706,VER-a0453a24d2cb4a5a32cc,PA,Reading,CITY OF READING,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0120_sr_506783f83314e2ff6220c429.pdf,d44ce80138b65301fa45804f5a29c3d8b8b21b5be9f40f618b0c21fc09f462a3,115,present,likely,p1,"39,114,115",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_8314fcdd248aac1c45cd4ef9,yes,cex_1874230408340ead75f9d23f,mixed,,,0,frozen
427,cex_6a5a123af45952ee9492a965,doc_50d4946ad6a0e8ee27f7af40,ttd_c4a1c2ff054da43a0d946905,pr_ca43401fef3e737f3dec6e5f,sr_734f684bd28ceedfa07fd88d,NSCQ-PA-20260720-0022,TRI-d0df2221879cfe8e0e80,VER-0dc1c7abf05f7171d77d,PA,Scranton,CITY OF SCRANTON,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0045_sr_734f684bd28ceedfa07fd88d.pdf,fb3f33b70152ea602cfe103ad69075a58ad51924b46c29ab34cb4ccc5cbd3d8b,50,present,possible,p2,"2,12,23",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_549e19dafad68fe343cb7512,yes,cex_6a5a123af45952ee9492a965,mixed,,,0,frozen
428,cex_f21d2a741f1eed04e42e0c2d,doc_8fe7d239969e0107dff03222,ttd_01fad58ba7e329926ee70bc6,pr_704032c6586192fae24a0542,sr_e7d16387446eae680fc8cfb4,NSCQ-PA-20260720-0018,TRI-f798824107e015c6a3dd,VER-4cb8e1ec4cd36abacc1c,PA,Scranton,CITY OF SCRANTON,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0206_sr_e7d16387446eae680fc8cfb4.pdf,050631ae34b4e81a532709a170eb7ffb629ab0a1a94dffd57779e5e27a1de4fc,72,present,likely,p1,"2,9,37,40",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_549e19dafad68fe343cb7512,yes,cex_6a5a123af45952ee9492a965,mixed,,,0,frozen
429,cex_1b9c6dcb6ff5f24f67c20a67,doc_ea09b85c0e8e1708803e748c,ttd_a75823ab81246c3f3dc3364f,pr_0cb5a949c307a1bbd5a30126,sr_665ea175902fd4406293ad90,NSCQ-PA-20260720-0065,TRI-cd3cf580c03f66ceec78,VER-be00b042338c6f85a558,PA,York,CITY OF YORK,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0231_sr_665ea175902fd4406293ad90.pdf,159edcd90dc692a43345cb92712078c702e603c1447759880ac8b8472b9193f4,40,present,likely,p1,"5,10,18,21,23,40",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_efb39997f60b118ac62a3b5b,yes,cex_d6bf2daf3a3a5645a50aedf9,mixed,,,0,frozen
430,cex_6a674be12461e80fb09383b2,doc_b92d90251d1dc2aab2678335,ttd_050ca791392a2b056a21c2b7,pr_a0801cd5c750139582c18895,sr_d0f86bce738c8cf4acbbf754,NSCQ-PA-20260720-0064,TRI-8986097ad5d543d9bb71,VER-1c5a60226c2a5be78e5d,PA,York,CITY OF YORK,fire,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_1_live_attempt1/candidate_artifacts/content/0050_sr_d0f86bce738c8cf4acbbf754.pdf,878d06ae0d5748c3e051c07997a219a0c5663c9d7f646b066ce80e3cebd6d91c,30,present,possible,p2,"7,14,16,17",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_efb39997f60b118ac62a3b5b,yes,cex_d6bf2daf3a3a5645a50aedf9,mixed,,,0,frozen
431,cex_d6bf2daf3a3a5645a50aedf9,doc_23e0118fa7ae86e6ad80a2b1,ttd_9dda7d5ecea592906a1ac042,pr_ed4cef09c76dfa0ab5810947,sr_c8c9bee4a7daa666b5b3d709,NSCQ-PA-20260720-0066,TRI-957d8aef697ac8d54039,VER-90ae14700514ca193525,PA,York,CITY OF YORK,non_safety,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0116_sr_c8c9bee4a7daa666b5b3d709.pdf,4daf3fa8d7b72f7bde9f660e4a259736f02f2c12a22651b8446d47275d360981,23,present,possible,p2,"8,12",12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_efb39997f60b118ac62a3b5b,yes,cex_d6bf2daf3a3a5645a50aedf9,mixed,,,0,frozen
432,cex_e185c0e85563e0489cee6edd,doc_e66fb8f8acfd019d676f9b94,ttd_aeffe9e5dd85d988f253d81f,pr_2fc7e6b7c6ee31b66506d87f,sr_b443537dabc95e79dffb4822,NSCQ-PA-20260720-0063,TRI-72a6b8158472da489f84,VER-fac612a9cf993d7248b6,PA,York,CITY OF YORK,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0099_sr_b443537dabc95e79dffb4822.pdf,8fc14e4051468f47d714698c232f9ff58e8d2e02929ecf311b17e4c6634378e5,27,present,likely,p1,"2,4,7,10,13,14,15,26",30.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY|LIKELY_P1_PRIORITY,match_efb39997f60b118ac62a3b5b,yes,cex_d6bf2daf3a3a5645a50aedf9,mixed,,,0,frozen
433,cex_5d8d114628b79fef7c4ea3d1,doc_cbdba91222a1dbccbdbf8a6f,ttd_b7f355980039cd9a055fdab7,pr_bb1eeab8f12e0425f64fda9f,sr_9fcd25402cf5175b2b06dda6,NSCQ-PA-20260720-0062,TRI-712d727defd321ce33be,VER-c8f9361b5b9b95393d14,PA,York,CITY OF YORK,police,cba,,,tmp/source_review_pilots/SOURCE-REVIEW-BATCH2-500-2026-07-24/lane_2_live_attempt1/candidate_artifacts/content/0026_sr_9fcd25402cf5175b2b06dda6.pdf,23e5166cc4a2b60f32ed481edfece9de499c89c5545ed7f2a540589eaa22f26d,1,present,possible,p2,,12.000,LOCAL_RETAINED_VERIFIED|TEXT_LAYER_READABLE|MATCHED_MUNICIPALITY,match_efb39997f60b118ac62a3b5b,yes,cex_d6bf2daf3a3a5645a50aedf9,mixed,,,0,frozen
