municipality,valid_rating_count,evidence_strength_counts,claim_relevance_counts
Scott,1,"{""not_supported"": 1}","{""not_claim_ready"": 1}"
Scottsboro,5,"{""moderate"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Searcy,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2}"
Seat Pleasant,4,"{""strong"": 3, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Sebastopol,42,"{""moderate"": 5, ""not_supported"": 3, ""strong"": 19, ""weak"": 15}","{""context_only"": 11, ""direct_text_claim"": 9, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 17}"
Selinsgrove,6,"{""not_supported"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Selma,33,"{""moderate"": 3, ""not_supported"": 7, ""strong"": 12, ""weak"": 11}","{""context_only"": 13, ""direct_text_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 14}"
Seneca,6,"{""strong"": 4, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Sergeant Bluff,5,"{""moderate"": 1, ""strong"": 3, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 4}"
Sevierville,1,"{""weak"": 1}","{""context_only"": 1}"
Seward,16,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 4, ""weak"": 9}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Seymour,64,"{""moderate"": 19, ""not_supported"": 9, ""strong"": 13, ""weak"": 23}","{""context_only"": 25, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 24}"
Shaftsbury,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Shakopee,10,"{""not_supported"": 1, ""strong"": 6, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Sharon,9,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 5}","{""context_only"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Sharpsburg,2,"{""moderate"": 1, ""not_supported"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Shasta Lake,3,"{""moderate"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Sheboygan,7,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
Sheffield,2,"{""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Shelburne,16,"{""moderate"": 3, ""strong"": 6, ""weak"": 7}","{""context_only"": 6, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 8}"
Shelby,47,"{""moderate"": 8, ""not_supported"": 4, ""strong"": 18, ""weak"": 17}","{""context_only"": 14, ""direct_text_claim"": 7, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 20}"
Sheldon,16,"{""moderate"": 2, ""strong"": 6, ""weak"": 8}","{""context_only"": 9, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 6}"
Shelton,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Shenandoah,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Shepherdsville,4,"{""weak"": 4}","{""context_only"": 3, ""not_claim_ready"": 1}"
Sheridan,11,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 4, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4}"
Shippensburg,1,"{""weak"": 1}","{""direct_text_claim"": 1}"
Shively,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Shorewood,26,"{""moderate"": 7, ""not_supported"": 4, ""strong"": 3, ""weak"": 12}","{""context_only"": 6, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 7, ""source_navigation_claim"": 1}"
Shoshone,2,"{""moderate"": 1, ""strong"": 1}","{""quantitative_compensation_claim"": 2}"
Show Low,6,"{""moderate"": 4, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Sierra Madre,34,"{""moderate"": 4, ""not_supported"": 7, ""strong"": 11, ""weak"": 12}","{""context_only"": 11, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 13}"
Signal Mountain,14,"{""moderate"": 6, ""not_supported"": 3, ""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
Siloam Springs,10,"{""not_supported"": 1, ""strong"": 3, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 3}"
Simpsonville,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Simsbury,14,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 2, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Sioux Center,4,"{""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Sisseton,3,"{""moderate"": 2, ""strong"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Skiatook,2,"{""not_supported"": 1, ""weak"": 1}","{""context_only"": 1, ""documentary_mechanism_claim"": 1}"
Smithfield,37,"{""moderate"": 5, ""not_supported"": 9, ""strong"": 12, ""weak"": 11}","{""context_only"": 16, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 12}"
Smithtown,1,"{""moderate"": 1}","{""documentary_mechanism_claim"": 1}"
Smithville,41,"{""moderate"": 8, ""not_supported"": 7, ""strong"": 13, ""weak"": 13}","{""context_only"": 11, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 11}"
Snellville,12,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 2, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Snohomish,4,"{""strong"": 2, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Soap Lake,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Soddy-Daisy,4,"{""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1}"
Solana Beach,38,"{""moderate"": 10, ""not_supported"": 2, ""strong"": 13, ""weak"": 13}","{""context_only"": 5, ""direct_text_claim"": 10, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 20}"
Soldier,2,"{""weak"": 2}","{""context_only"": 2}"
Solvay,13,"{""moderate"": 3, ""not_supported"": 1, ""strong"": 1, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Somers,15,"{""moderate"": 2, ""not_supported"": 6, ""weak"": 7}","{""context_only"": 10, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1, ""source_navigation_claim"": 1}"
Somerset,30,"{""moderate"": 5, ""not_supported"": 5, ""strong"": 1, ""weak"": 19}","{""context_only"": 17, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6, ""source_navigation_claim"": 1}"
Somerton,18,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 6, ""weak"": 7}","{""context_only"": 3, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 5}"
Sonoma,13,"{""moderate"": 3, ""not_supported"": 2, ""strong"": 4, ""weak"": 4}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 5}"
Sonora,41,"{""moderate"": 11, ""not_supported"": 4, ""strong"": 5, ""weak"": 21}","{""context_only"": 19, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 1, ""provisional_causal_candidate"": 1, ""quantitative_compensation_claim"": 15}"
Souderton,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
South Berwick,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
South Bethany,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
South Burlington,3,"{""not_supported"": 1, ""weak"": 2}","{""context_only"": 2, ""not_claim_ready"": 1}"
South Hill,12,"{""moderate"": 3, ""strong"": 2, ""weak"": 7}","{""context_only"": 5, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
South Ogden,2,"{""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1}"
South Park,5,"{""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
South Rock Island,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
South Weber,8,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 1, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 2}"
Southern Pines,7,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 3}"
Southington,16,"{""moderate"": 4, ""not_supported"": 1, ""strong"": 5, ""weak"": 6}","{""context_only"": 4, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 8}"
Southlake,11,"{""moderate"": 2, ""strong"": 4, ""weak"": 5}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 6}"
Southside,2,"{""moderate"": 1, ""strong"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Spanish Fort,3,"{""moderate"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Spencer,3,"{""weak"": 3}","{""context_only"": 3}"
Spring Garden,6,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 3}","{""context_only"": 4, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Spring Lake,11,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 2, ""weak"": 4}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Spring Lake Park,17,"{""moderate"": 5, ""not_supported"": 1, ""strong"": 1, ""weak"": 10}","{""context_only"": 5, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 6, ""source_navigation_claim"": 1}"
Springerville,10,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 2, ""weak"": 4}","{""context_only"": 3, ""direct_text_claim"": 2, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 2}"
Springfield,35,"{""moderate"": 8, ""not_supported"": 7, ""strong"": 6, ""weak"": 14}","{""context_only"": 16, ""direct_text_claim"": 6, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6}"
Springfield charter,10,"{""moderate"": 1, ""strong"": 5, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
St. Albans,8,"{""moderate"": 1, ""strong"": 1, ""weak"": 6}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
St. Charles,16,"{""not_supported"": 2, ""strong"": 5, ""weak"": 9}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
St. Clair,20,"{""moderate"": 3, ""not_supported"": 3, ""strong"": 4, ""weak"": 10}","{""context_only"": 8, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 5}"
St. Francis,17,"{""moderate"": 2, ""strong"": 7, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 6}"
St. James,21,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 5, ""weak"": 9}","{""context_only"": 5, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 4, ""quantitative_compensation_claim"": 6, ""source_navigation_claim"": 2}"
St. Johns,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
St. Johnsbury,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 2, ""quantitative_compensation_claim"": 2}"
St. Louis,15,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 7, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 8}"
St. Martinville,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
St. Marys,2,"{""weak"": 2}","{""context_only"": 2}"
St. Matthews,6,"{""not_supported"": 4, ""strong"": 1, ""weak"": 1}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 2, ""source_navigation_claim"": 1}"
St. Michaels,2,"{""weak"": 2}","{""context_only"": 2}"
St. Paul Park,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 2, ""weak"": 5}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
St. Peter,5,"{""strong"": 4, ""weak"": 1}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 4}"
Stallings,13,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 1, ""weak"": 5}","{""context_only"": 6, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Stanley,4,"{""strong"": 4}","{""quantitative_compensation_claim"": 4}"
Staples,16,"{""moderate"": 4, ""not_supported"": 2, ""strong"": 9, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 10, ""source_navigation_claim"": 1}"
Star Valley,3,"{""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 1}"
Star Valley Ranch,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Statesville,5,"{""moderate"": 1, ""strong"": 2, ""weak"": 2}","{""context_only"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Steelton,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 2}"
Steger,4,"{""moderate"": 1, ""weak"": 3}","{""context_only"": 3, ""documentary_mechanism_claim"": 1}"
Steilacoom,27,"{""moderate"": 5, ""not_supported"": 5, ""strong"": 11, ""weak"": 6}","{""context_only"": 7, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 12}"
Stephenville,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Sterling,26,"{""moderate"": 7, ""not_supported"": 3, ""strong"": 4, ""weak"": 12}","{""context_only"": 10, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 7, ""source_navigation_claim"": 3}"
Sterling Heights,12,"{""moderate"": 2, ""not_supported"": 3, ""strong"": 5, ""weak"": 2}","{""context_only"": 4, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Sterlington,2,"{""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Stevenson,21,"{""moderate"": 7, ""not_supported"": 1, ""strong"": 4, ""weak"": 9}","{""context_only"": 8, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 6}"
Stilwell,5,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""direct_text_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Stockton,11,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 4, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 5}"
Stonecrest,16,"{""moderate"": 5, ""not_supported"": 2, ""strong"": 2, ""weak"": 7}","{""context_only"": 8, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 3, ""quantitative_compensation_claim"": 2}"
Story City,6,"{""moderate"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 3, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 2}"
Stratford,6,"{""moderate"": 1, ""strong"": 3, ""weak"": 2}","{""direct_text_claim"": 3, ""quantitative_compensation_claim"": 3}"
Streator,18,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 2, ""weak"": 9}","{""context_only"": 10, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Stroudsburg,7,"{""not_supported"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 4, ""quantitative_compensation_claim"": 3}"
Sturgis,8,"{""not_supported"": 2, ""strong"": 1, ""weak"": 5}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 3}"
Sudbury,26,"{""moderate"": 4, ""not_supported"": 3, ""strong"": 8, ""weak"": 11}","{""context_only"": 8, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 4, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 6, ""source_navigation_claim"": 1}"
Suffern,27,"{""moderate"": 3, ""not_supported"": 4, ""strong"": 8, ""weak"": 12}","{""context_only"": 15, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 10}"
Sullivan,9,"{""not_supported"": 2, ""strong"": 2, ""weak"": 5}","{""context_only"": 5, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Sulphur Springs,12,"{""moderate"": 5, ""strong"": 3, ""weak"": 4}","{""context_only"": 6, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 5}"
Sumter,2,"{""not_supported"": 1, ""strong"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Sun Valley,7,"{""not_supported"": 3, ""weak"": 4}","{""context_only"": 4, ""quantitative_compensation_claim"": 2, ""source_navigation_claim"": 1}"
Sundance,1,"{""weak"": 1}","{""context_only"": 1}"
Superior,2,"{""strong"": 2}","{""quantitative_compensation_claim"": 2}"
Surfside Beach,4,"{""moderate"": 1, ""strong"": 1, ""weak"": 2}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Sutherland,4,"{""moderate"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 2, ""quantitative_compensation_claim"": 1}"
Suwanee,18,"{""moderate"": 1, ""not_supported"": 5, ""strong"": 4, ""weak"": 8}","{""context_only"": 9, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
Swanton,6,"{""strong"": 1, ""weak"": 5}","{""context_only"": 5, ""quantitative_compensation_claim"": 1}"
Swartz Creek,30,"{""moderate"": 6, ""not_supported"": 5, ""strong"": 7, ""weak"": 12}","{""context_only"": 9, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 14}"
Sweetwater,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Swissvale,1,"{""weak"": 1}","{""context_only"": 1}"
Tahlequah,7,"{""moderate"": 2, ""strong"": 3, ""weak"": 2}","{""context_only"": 1, ""quantitative_compensation_claim"": 6}"
Talladega,10,"{""moderate"": 2, ""not_supported"": 1, ""weak"": 7}","{""context_only"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 4}"
Tamaqua,12,"{""not_supported"": 3, ""strong"": 6, ""weak"": 3}","{""context_only"": 1, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 7}"
Tampa,32,"{""moderate"": 10, ""not_supported"": 3, ""strong"": 10, ""weak"": 9}","{""context_only"": 10, ""direct_text_claim"": 8, ""documentary_mechanism_claim"": 2, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 11}"
Tamworth,6,"{""moderate"": 1, ""strong"": 2, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 1}"
Taos Ski Valley,19,"{""moderate"": 6, ""not_supported"": 4, ""strong"": 3, ""weak"": 6}","{""context_only"": 6, ""direct_text_claim"": 5, ""documentary_mechanism_claim"": 5, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 1}"
Tarrytown,21,"{""moderate"": 2, ""not_supported"": 2, ""strong"": 5, ""weak"": 12}","{""context_only"": 7, ""direct_text_claim"": 3, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 7}"
Taylor,6,"{""moderate"": 1, ""strong"": 1, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 1}"
Taylor Mill,3,"{""not_supported"": 2, ""strong"": 1}","{""context_only"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 1}"
Taylorville,6,"{""moderate"": 1, ""weak"": 5}","{""context_only"": 4, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Tehachapi,11,"{""moderate"": 2, ""strong"": 3, ""weak"": 6}","{""context_only"": 5, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 4}"
Teller,7,"{""moderate"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 3, ""quantitative_compensation_claim"": 2}"
Tenino,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1}"
Tequesta,12,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 5, ""weak"": 4}","{""context_only"": 4, ""direct_text_claim"": 2, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 3}"
Terry,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Teton,3,"{""moderate"": 1, ""strong"": 2}","{""quantitative_compensation_claim"": 3}"
Thermopolis,5,"{""moderate"": 1, ""not_supported"": 2, ""strong"": 1, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 2}"
Thief River Falls,6,"{""strong"": 2, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 2, ""quantitative_compensation_claim"": 2}"
Thomasville,19,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 4, ""weak"": 13}","{""context_only"": 8, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 3, ""not_claim_ready"": 2, ""quantitative_compensation_claim"": 4, ""source_navigation_claim"": 1}"
Thornton,14,"{""moderate"": 1, ""not_supported"": 3, ""strong"": 6, ""weak"": 4}","{""context_only"": 2, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 3, ""quantitative_compensation_claim"": 4}"
Three Forks,4,"{""moderate"": 1, ""strong"": 1, ""weak"": 2}","{""direct_text_claim"": 1, ""quantitative_compensation_claim"": 3}"
Tiburon,7,"{""not_supported"": 2, ""strong"": 2, ""weak"": 3}","{""context_only"": 4, ""quantitative_compensation_claim"": 3}"
Tifton,3,"{""moderate"": 1, ""weak"": 2}","{""documentary_mechanism_claim"": 3}"
Tijeras,1,"{""weak"": 1}","{""context_only"": 1}"
Tilden,5,"{""strong"": 1, ""weak"": 4}","{""context_only"": 3, ""quantitative_compensation_claim"": 2}"
Tilton,10,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 3, ""weak"": 4}","{""context_only"": 1, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 1, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 3}"
Timber Lake,1,"{""strong"": 1}","{""quantitative_compensation_claim"": 1}"
Timberville,2,"{""strong"": 1, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 1}"
Timnath,1,"{""weak"": 1}","{""context_only"": 1}"
Tinley Park,4,"{""not_supported"": 1, ""strong"": 2, ""weak"": 1}","{""context_only"": 2, ""quantitative_compensation_claim"": 2}"
Tioga,3,"{""moderate"": 2, ""weak"": 1}","{""context_only"": 1, ""quantitative_compensation_claim"": 2}"
Tiverton,16,"{""moderate"": 2, ""not_supported"": 1, ""strong"": 5, ""weak"": 8}","{""context_only"": 6, ""direct_text_claim"": 3, ""not_claim_ready"": 1, ""quantitative_compensation_claim"": 6}"
Togiak,4,"{""moderate"": 1, ""not_supported"": 2, ""weak"": 1}","{""context_only"": 3, ""quantitative_compensation_claim"": 1}"
Toksook Bay,3,"{""strong"": 2, ""weak"": 1}","{""context_only"": 1, ""direct_text_claim"": 1, ""quantitative_compensation_claim"": 1}"
Toledo,73,"{""moderate"": 9, ""not_supported"": 13, ""strong"": 13, ""weak"": 38}","{""context_only"": 32, ""direct_text_claim"": 4, ""documentary_mechanism_claim"": 7, ""not_claim_ready"": 8, ""quantitative_compensation_claim"": 22}"
Tomahawk,11,"{""moderate"": 5, ""strong"": 3, ""weak"": 3}","{""context_only"": 2, ""direct_text_claim"": 1, ""documentary_mechanism_claim"": 4, ""quantitative_compensation_claim"": 4}"
Tomball,3,"{""moderate"": 2, ""weak"": 1}","{""direct_text_claim"": 1, ""documentary_mechanism_claim"": 1, ""quantitative_compensation_claim"": 1}"
Toms River,8,"{""moderate"": 1, ""not_supported"": 1, ""strong"": 3, ""weak"": 3}","{""context_only"": 3, ""quantitative_compensation_claim"": 5}"
